n,nsamp,error
16,0,0.1875
16,0,0.3125
16,0,0.375
16,0,0.375
16,0,0.4375
16,0,0.4375
16,0,0.5
16,0,0.3125
16,0,0.375
16,0,0.375
16,0,0.1875
16,0,0.5
16,0,0.5
16,0,0.375
16,0,0.5
16,0,0.375
16,0,0.4375
16,0,0.25
16,0,0.3125
16,0,0.5
16,0,0.375
16,0,0.375
16,0,0.3125
16,0,0.5
16,0,0.3125
16,0,0.4375
16,0,0.1875
16,0,0.5
16,0,0.375
16,0,0.4375
16,0,0.375
16,0,0.4375
16,0,0.3125
16,0,0.3125
16,0,0.4375
16,0,0.375
16,0,0.375
16,0,0.5
16,0,0.375
16,0,0.25
16,0,0.1875
16,0,0.5
16,0,0.3125
16,0,0.375
16,0,0.5
16,0,0.5
16,0,0.5
16,0,0.4375
16,0,0.25
16,0,0.4375
32,0,0.3125
32,0,0.15625
32,0,0.40625
32,0,0.46875
32,0,0.28125
32,0,0.40625
32,0,0.375
32,0,0.34375
32,0,0.46875
32,0,0.46875
32,0,0.3125
32,0,0.5
32,0,0.5
32,0,0.375
32,0,0.34375
32,0,0.3125
32,0,0.40625
32,0,0.3125
32,0,0.28125
32,0,0.34375
32,0,0.46875
32,0,0.25
32,0,0.34375
32,0,0.46875
32,0,0.34375
32,0,0.46875
32,0,0.5
32,0,0.375
32,0,0.40625
32,0,0.46875
32,0,0.46875
32,0,0.46875
32,0,0.4375
32,0,0.25
32,0,0.40625
32,0,0.25
32,0,0.15625
32,0,0.46875
32,0,0.34375
32,0,0.28125
32,0,0.40625
32,0,0.3125
32,0,0.21875
32,0,0.21875
32,0,0.46875
32,0,0.375
32,0,0.46875
32,0,0.21875
32,0,0.375
32,0,0.1875
64,0,0.453125
64,0,0.5
64,0,0.078125
64,0,0.484375
64,0,0.1875
64,0,0.46875
64,0,0.09375
64,0,0.09375
64,0,0.375
64,0,0.453125
64,0,0.5
64,0,0.453125
64,0,0.46875
64,0,0.5
64,0,0.15625
64,0,0.09375
64,0,0.265625
64,0,0.390625
64,0,0.4375
64,0,0.328125
64,0,0.1875
64,0,0.15625
64,0,0.4375
64,0,0.09375
64,0,0.296875
64,0,0.28125
64,0,0.453125
64,0,0.296875
64,0,0.234375
64,0,0.3125
64,0,0.171875
64,0,0.15625
64,0,0.296875
64,0,0.21875
64,0,0.234375
64,0,0.4375
64,0,0.5
64,0,0.171875
64,0,0.1875
64,0,0.484375
64,0,0.390625
64,0,0.296875
64,0,0.46875
64,0,0.296875
64,0,0.421875
64,0,0.421875
64,0,0.453125
64,0,0.46875
64,0,0.34375
64,0,0.390625
128,0,0.125
128,0,0.46875
128,0,0.3984375
128,0,0.1640625
128,0,0.2421875
128,0,0.109375
128,0,0.0703125
128,0,0.171875
128,0,0.3046875
128,0,0.2265625
128,0,0.265625
128,0,0.4375
128,0,0.4921875
128,0,0.421875
128,0,0.28125
128,0,0.3359375
128,0,0.078125
128,0,0.1171875
128,0,0.2109375
128,0,0.2734375
128,0,0.1484375
128,0,0.1640625
128,0,0.234375
128,0,0.125
128,0,0.4609375
128,0,0.4453125
128,0,0.4765625
128,0,0.1796875
128,0,0.46875
128,0,0.3046875
128,0,0.390625
128,0,0.359375
128,0,0.4609375
128,0,0.09375
128,0,0.1015625
128,0,0.4453125
128,0,0.15625
128,0,0.171875
128,0,0.1875
128,0,0.1015625
128,0,0.078125
128,0,0.4765625
128,0,0.28125
128,0,0.40625
128,0,0.1796875
128,0,0.3359375
128,0,0.4765625
128,0,0.453125
128,0,0.4921875
128,0,0.1953125
256,0,0.484375
256,0,0.09375
256,0,0.37109375
256,0,0.4765625
256,0,0.05078125
256,0,0.5
256,0,0.19140625
256,0,0.484375
256,0,0.08984375
256,0,0.140625
256,0,0.07421875
256,0,0.43359375
256,0,0.484375
256,0,0.06640625
256,0,0.171875
256,0,0.046875
256,0,0.0390625
256,0,0.0546875
256,0,0.41796875
256,0,0.15234375
256,0,0.07421875
256,0,0.0703125
256,0,0.02734375
256,0,0.06640625
256,0,0.12890625
256,0,0.05078125
256,0,0.1171875
256,0,0.3671875
256,0,0.17578125
256,0,0.47265625
256,0,0.109375
256,0,0.43359375
256,0,0.05859375
256,0,0.08203125
256,0,0.265625
256,0,0.34765625
256,0,0.0546875
256,0,0.1953125
256,0,0.046875
256,0,0.1015625
256,0,0.40234375
256,0,0.43359375
256,0,0.375
256,0,0.15625
256,0,0.328125
256,0,0.1328125
256,0,0.2734375
256,0,0.49609375
256,0,0.16796875
256,0,0.10546875
512,0,0.46484375
512,0,0.064453125
512,0,0.48046875
512,0,0.103515625
512,0,0.041015625
512,0,0.041015625
512,0,0.162109375
512,0,0.115234375
512,0,0.0546875
512,0,0.19921875
512,0,0.365234375
512,0,0.056640625
512,0,0.427734375
512,0,0.111328125
512,0,0.04296875
512,0,0.203125
512,0,0.09765625
512,0,0.08203125
512,0,0.130859375
512,0,0.4453125
512,0,0.427734375
512,0,0.44921875
512,0,0.4453125
512,0,0.052734375
512,0,0.45703125
512,0,0.068359375
512,0,0.333984375
512,0,0.03515625
512,0,0.36328125
512,0,0.228515625
512,0,0.033203125
512,0,0.060546875
512,0,0.302734375
512,0,0.11328125
512,0,0.42578125
512,0,0.033203125
512,0,0.4921875
512,0,0.05859375
512,0,0.05078125
512,0,0.322265625
512,0,0.1015625
512,0,0.474609375
512,0,0.1640625
512,0,0.435546875
512,0,0.486328125
512,0,0.134765625
512,0,0.099609375
512,0,0.09765625
512,0,0.41015625
512,0,0.048828125
1024,0,0.080078125
1024,0,0.0322265625
1024,0,0.0390625
1024,0,0.041015625
1024,0,0.033203125
1024,0,0.0361328125
1024,0,0.1533203125
1024,0,0.0380859375
1024,0,0.41796875
1024,0,0.02734375
1024,0,0.044921875
1024,0,0.0380859375
1024,0,0.0244140625
1024,0,0.03125
1024,0,0.029296875
1024,0,0.0341796875
1024,0,0.0234375
1024,0,0.0390625
1024,0,0.041015625
1024,0,0.4716796875
1024,0,0.033203125
1024,0,0.203125
1024,0,0.134765625
1024,0,0.4306640625
1024,0,0.4189453125
1024,0,0.0419921875
1024,0,0.0322265625
1024,0,0.3486328125
1024,0,0.033203125
1024,0,0.0458984375
1024,0,0.4873046875
1024,0,0.4462890625
1024,0,0.0341796875
1024,0,0.0361328125
1024,0,0.4599609375
1024,0,0.4345703125
1024,0,0.029296875
1024,0,0.4677734375
1024,0,0.03515625
1024,0,0.0419921875
1024,0,0.0380859375
1024,0,0.2119140625
1024,0,0.0439453125
1024,0,0.044921875
1024,0,0.078125
1024,0,0.216796875
1024,0,0.4775390625
1024,0,0.03515625
1024,0,0.38671875
1024,0,0.3525390625
2048,0,0.02490234375
2048,0,0.02001953125
2048,0,0.025390625
2048,0,0.15576171875
2048,0,0.02783203125
2048,0,0.0263671875
2048,0,0.03125
2048,0,0.0224609375
2048,0,0.02490234375
2048,0,0.0263671875
2048,0,0.03076171875
2048,0,0.02294921875
2048,0,0.16259765625
2048,0,0.02099609375
2048,0,0.0341796875
2048,0,0.02099609375
2048,0,0.0234375
2048,0,0.4765625
2048,0,0.0205078125
2048,0,0.02099609375
2048,0,0.03271484375
2048,0,0.03515625
2048,0,0.02490234375
2048,0,0.0146484375
2048,0,0.02587890625
2048,0,0.0419921875
2048,0,0.01953125
2048,0,0.4775390625
2048,0,0.02587890625
2048,0,0.02490234375
2048,0,0.02783203125
2048,0,0.01953125
2048,0,0.49267578125
2048,0,0.24951171875
2048,0,0.01953125
2048,0,0.02001953125
2048,0,0.02001953125
2048,0,0.4375
2048,0,0.0224609375
2048,0,0.02587890625
2048,0,0.02734375
2048,0,0.0234375
2048,0,0.0234375
2048,0,0.0234375
2048,0,0.0234375
2048,0,0.4921875
2048,0,0.03076171875
2048,0,0.01904296875
2048,0,0.0361328125
2048,0,0.03173828125
16,4,0.1875
16,4,0
16,4,0.1875
16,4,0.3125
16,4,0
16,4,0.1875
16,4,0.25
16,4,0.0625
16,4,0.25
16,4,0.1875
16,4,0.125
16,4,0.125
16,4,0.125
16,4,0.0625
16,4,0
16,4,0.125
16,4,0
16,4,0
16,4,0
16,4,0.125
16,4,0.0625
16,4,0
16,4,0.1875
16,4,0.0625
16,4,0
16,4,0.0625
16,4,0
16,4,0.1875
16,4,0.3125
16,4,0
16,4,0
16,4,0
16,4,0
16,4,0.0625
16,4,0
16,4,0.0625
16,4,0
16,4,0.0625
16,4,0
16,4,0.1875
16,4,0.1875
16,4,0.1875
16,4,0.125
16,4,0.125
16,4,0.0625
16,4,0.125
16,4,0.125
16,4,0
16,4,0.1875
32,4,0.15625
32,4,0.09375
32,4,0
32,4,0.125
32,4,0.0625
32,4,0.0625
32,4,0.09375
32,4,0.125
32,4,0.03125
32,4,0.0625
32,4,0.15625
32,4,0
32,4,0.03125
32,4,0.03125
32,4,0.0625
32,4,0.0625
32,4,0.125
32,4,0.15625
32,4,0
32,4,0
32,4,0.03125
32,4,0.25
32,4,0.0625
32,4,0.03125
32,4,0.375
32,4,0.0625
32,4,0.03125
32,4,0
32,4,0.15625
32,4,0.03125
32,4,0.03125
32,4,0.0625
32,4,0.25
32,4,0.09375
32,4,0.03125
32,4,0.03125
32,4,0.0625
32,4,0.09375
32,4,0.09375
32,4,0
32,4,0
32,4,0.0625
32,4,0
32,4,0.28125
32,4,0.15625
32,4,0
32,4,0
32,4,0.0625
32,4,0.28125
32,4,0.03125
64,4,0.046875
64,4,0.09375
64,4,0.046875
64,4,0.015625
64,4,0.078125
64,4,0.171875
64,4,0.015625
64,4,0
64,4,0.03125
64,4,0.015625
64,4,0
64,4,0.046875
64,4,0
64,4,0.03125
64,4,0.03125
64,4,0.015625
64,4,0.078125
64,4,0.015625
64,4,0
64,4,0
64,4,0.21875
64,4,0
64,4,0.03125
64,4,0
64,4,0.015625
64,4,0.078125
64,4,0
64,4,0.03125
64,4,0.125
64,4,0
64,4,0
64,4,0.03125
64,4,0
64,4,0
64,4,0
64,4,0
64,4,0
64,4,0
64,4,0.109375
64,4,0.015625
64,4,0
64,4,0
64,4,0.03125
64,4,0
64,4,0.015625
64,4,0.015625
64,4,0
64,4,0.015625
64,4,0
64,4,0.03125
128,4,0
128,4,0.1171875
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0.0703125
128,4,0.015625
128,4,0.03125
128,4,0.0078125
128,4,0.015625
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0.0390625
128,4,0.015625
128,4,0.03125
128,4,0.0703125
128,4,0.125
128,4,0
128,4,0
128,4,0
128,4,0.0625
128,4,0.03125
128,4,0
128,4,0
128,4,0.046875
128,4,0
128,4,0
128,4,0
128,4,0.0390625
128,4,0
128,4,0
128,4,0.078125
128,4,0.0390625
128,4,0
128,4,0.015625
128,4,0
128,4,0.0546875
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
256,4,0.02734375
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.00390625
256,4,0
256,4,0
256,4,0.00390625
256,4,0
256,4,0
256,4,0
256,4,0.0234375
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.03515625
256,4,0
256,4,0
256,4,0
256,4,0.0078125
256,4,0
256,4,0.01953125
256,4,0.015625
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.0390625
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.01953125
256,4,0
256,4,0
256,4,0.03515625
256,4,0.04296875
256,4,0.0390625
256,4,0
256,4,0.109375
256,4,0
256,4,0
256,4,0.01953125
256,4,0
512,4,0
512,4,0.021484375
512,4,0.013671875
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0.060546875
512,4,0.01171875
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0.01171875
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.013671875
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.015625
1024,4,0
1024,4,0.02734375
1024,4,0.0146484375
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.01171875
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.00390625
1024,4,0
1024,4,0.025390625
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
2048,4,0
2048,4,0.00537109375
2048,4,0
2048,4,0.0068359375
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.00634765625
2048,4,0.00390625
2048,4,0
2048,4,0
2048,4,0.01220703125
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.01025390625
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.00341796875
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.00732421875
2048,4,0
16,8,0
16,8,0.375
16,8,0
16,8,0
16,8,0.1875
16,8,0.125
16,8,0
16,8,0
16,8,0
32,8,0.0625
32,8,0
32,8,0.03125
32,8,0
32,8,0
32,8,0.0625
32,8,0.0625
32,8,0
32,8,0.03125
32,8,0
32,8,0
32,8,0.15625
32,8,0
32,8,0
32,8,0.0625
32,8,0
32,8,0
32,8,0
32,8,0
32,8,0.03125
32,8,0.03125
32,8,0
32,8,0.09375
32,8,0
32,8,0.0625
32,8,0.03125
32,8,0.03125
32,8,0.09375
32,8,0.0625
32,8,0
32,8,0.09375
32,8,0
32,8,0.03125
32,8,0.03125
32,8,0
32,8,0
32,8,0.0625
32,8,0.03125
32,8,0.03125
32,8,0
32,8,0
32,8,0
32,8,0.09375
32,8,0.03125
32,8,0
32,8,0.09375
32,8,0.0625
32,8,0.09375
32,8,0
32,8,0
64,8,0.078125
64,8,0.046875
64,8,0
64,8,0
64,8,0
64,8,0.046875
64,8,0
64,8,0.015625
64,8,0.015625
64,8,0.046875
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0.015625
64,8,0
64,8,0
64,8,0.046875
64,8,0.015625
64,8,0
64,8,0.046875
64,8,0
64,8,0
64,8,0.03125
64,8,0.046875
64,8,0
64,8,0
64,8,0.0625
64,8,0.03125
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0.046875
64,8,0
64,8,0.03125
64,8,0
64,8,0
64,8,0
64,8,0.015625
64,8,0
64,8,0.015625
64,8,0
64,8,0
64,8,0.046875
64,8,0.015625
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0078125
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0234375
128,8,0.0390625
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0625
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0234375
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0.00390625
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0.00390625
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0.0390625
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0.015625
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
2048,8,0.00732421875
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0.00830078125
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
2048,8,0
16,single linkage,0
16,single linkage,0
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.1875
16,single linkage,0.5
16,single linkage,0
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.5
16,single linkage,0.375
16,single linkage,0.3125
16,single linkage,0.125
16,single linkage,0.3125
16,single linkage,0
16,single linkage,0.1875
16,single linkage,0.1875
16,single linkage,0.1875
16,single linkage,0.4375
16,single linkage,0.4375
16,single linkage,0.375
16,single linkage,0.3125
16,single linkage,0.4375
16,single linkage,0
16,single linkage,0.3125
16,single linkage,0.3125
16,single linkage,0.1875
16,single linkage,0.375
16,single linkage,0.375
16,single linkage,0.25
16,single linkage,0.4375
16,single linkage,0.4375
16,single linkage,0.25
16,single linkage,0.0625
16,single linkage,0.4375
16,single linkage,0.1875
16,single linkage,0.375
16,single linkage,0.4375
16,single linkage,0.1875
16,single linkage,0.375
16,single linkage,0.0625
16,single linkage,0.375
16,single linkage,0.5
16,single linkage,0.1875
16,single linkage,0
16,single linkage,0.25
16,single linkage,0.375
16,single linkage,0.1875
32,single linkage,0.375
32,single linkage,0
32,single linkage,0.21875
32,single linkage,0
32,single linkage,0.4375
32,single linkage,0
32,single linkage,0.40625
32,single linkage,0.28125
32,single linkage,0.28125
32,single linkage,0.03125
32,single linkage,0.1875
32,single linkage,0.125
32,single linkage,0
32,single linkage,0.15625
32,single linkage,0
32,single linkage,0
32,single linkage,0.46875
32,single linkage,0.40625
32,single linkage,0.03125
32,single linkage,0.09375
32,single linkage,0.1875
32,single linkage,0.375
32,single linkage,0.40625
32,single linkage,0.375
32,single linkage,0
32,single linkage,0.40625
32,single linkage,0.4375
32,single linkage,0.34375
32,single linkage,0
32,single linkage,0.03125
32,single linkage,0.40625
32,single linkage,0
32,single linkage,0.03125
32,single linkage,0.15625
32,single linkage,0.3125
32,single linkage,0.09375
32,single linkage,0.4375
32,single linkage,0.375
32,single linkage,0.03125
32,single linkage,0.0625
32,single linkage,0.09375
32,single linkage,0.0625
32,single linkage,0
32,single linkage,0.3125
32,single linkage,0.25
32,single linkage,0.03125
32,single linkage,0.375
32,single linkage,0.03125
32,single linkage,0.125
32,single linkage,0.0625
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.015625
64,single linkage,0
64,single linkage,0.015625
64,single linkage,0.171875
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.046875
64,single linkage,0.484375
64,single linkage,0.453125
64,single linkage,0
64,single linkage,0
64,single linkage,0.046875
64,single linkage,0.015625
64,single linkage,0.453125
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.046875
64,single linkage,0.015625
64,single linkage,0
64,single linkage,0
64,single linkage,0.015625
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.125
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0
64,single linkage,0.140625
128,single linkage,0
128,single linkage,0.453125
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
128,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
256,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
512,single linkage,0
